ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
time,string,addr,port,addr,port,enum,string,interval,count,count,string,bool,bool,count,string,count,count,count,count,set[string]
1.726.891.576.691.210,CrYkH516s078cl6Xil,192.168.0.4,38745,120.230.127.137,40675,tcp,-,2.047.946,0,0,S0,T,F,0,S,2,120,0,0,-
1.726.891.579.603.530,CI5PPH2OPWWebCj7Gl,192.168.0.4,49837,106.6.120.158,31640,tcp,-,355.563,0,0,REJ,T,F,0,Sr,1,60,1,40,-
1.726.891.579.986.310,ChNV0g3bsNDHgcQgn4,192.168.0.66,49710,192.168.0.4,5355,tcp,-,-,-,-,S0,T,T,0,S,1,64,0,0,-
1.726.891.580.006.470,CdUYHjQHvzhuGoGEe,192.168.0.66,35073,192.168.0.4,113,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.580.006.470,Cw4hhxddUoaIejKEj,192.168.0.66,35073,192.168.0.4,23,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.580.006.470,CoMOqi4ByaiaYqJs8f,192.168.0.66,35073,192.168.0.4,110,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.580.006.470,C4ka0S10UIBppn8Eg3,192.168.0.66,35073,192.168.0.4,135,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.580.006.480,CezH6Y1NUYYO1HuTC6,192.168.0.66,35073,192.168.0.4,587,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.580.006.850,CfPWpg2at2udhyxgZ5,192.168.0.66,35073,192.168.0.4,445,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.580.006.850,CkwToU3YiNvqUFloLf,192.168.0.66,35073,192.168.0.4,111,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.580.006.850,Cy0d5c2mEsTBLuDqP6,192.168.0.66,35073,192.168.0.4,554,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
