ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
time,string,addr,port,addr,port,enum,string,interval,count,count,string,bool,bool,count,string,count,count,count,count,set[string]
1.726.892.751.219.130,CZGdwgNHVDqqwBFi2,192.168.0.4,52659,120.230.127.137,29583,tcp,-,4.032.016,0,0,S0,T,F,0,S,2,120,0,0,-
1.726.892.751.737.010,CzACkb2rq7I4NiBbgk,192.168.0.66,39734,192.168.0.4,5355,tcp,-,-,-,-,S0,T,T,0,S,1,64,0,0,-
1.726.892.751.738.110,CJK4yt2Ntr6M80kkId,192.168.0.66,41726,192.168.0.4,3389,tcp,-,-,-,-,S0,T,T,0,S,1,60,0,0,-
1.726.892.751.738.110,CZbnbzkj896wLfvXg,192.168.0.66,37834,192.168.0.4,587,tcp,-,-,-,-,S0,T,T,0,S,1,60,0,0,-
1.726.892.751.738.110,Cnfum91f6Mo8pGVoZ,192.168.0.66,34288,192.168.0.4,199,tcp,-,-,-,-,S0,T,T,0,S,1,60,0,0,-
1.726.892.751.738.110,CftNua4Vye34AhBtJd,192.168.0.66,54168,192.168.0.4,1720,tcp,-,-,-,-,S0,T,T,0,S,1,60,0,0,-
1.726.892.751.738.600,CIootb3KzCx67y4jl1,192.168.0.66,46702,192.168.0.4,139,tcp,-,-,-,-,S0,T,T,0,S,1,60,0,0,-
1.726.892.751.738.600,CZAcUG3AFsO5HuuAbd,192.168.0.66,52344,192.168.0.4,23,tcp,-,-,-,-,S0,T,T,0,S,1,60,0,0,-
1.726.892.751.738.600,CZ22C73mznGh7mkhDl,192.168.0.66,56458,192.168.0.4,1723,tcp,-,1.020.640,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.751.738.600,CyXr7n3hqD5tRTVXI1,192.168.0.66,33972,192.168.0.4,443,tcp,-,1.020.637,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.751.738.600,CtqZbqJMJUD1DrPyh,192.168.0.66,45102,192.168.0.4,25,tcp,-,1.020.634,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.751.738.950,CUammFsCsj8vb3sS5,192.168.0.66,49816,192.168.0.4,111,tcp,-,1.020.097,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.751.738.950,C6hhh6WnGZ5sfH573,192.168.0.66,50042,192.168.0.4,1025,tcp,-,1.020.094,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.751.738.110,CprOZs4EVnV0ZE8k0f,192.168.0.66,49976,192.168.0.4,22,tcp,-,843,0,0,RSTO,T,T,0,ShAR,3,164,1,60,-
1.726.892.751.738.960,C0jQJV3DAGAJsRViB8,192.168.0.66,60600,192.168.0.4,256,tcp,-,1.020.089,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.751.739.180,CNNHEq3v36CeoGEww7,192.168.0.66,45412,192.168.0.4,113,tcp,-,1.019.866,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.751.739.180,CRJmzl42wZJHYk1vb6,192.168.0.66,53254,192.168.0.4,993,tcp,-,1.019.863,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.751.739.180,CYA4mg1J5v6jthIFde,192.168.0.66,54160,192.168.0.4,5900,tcp,-,1.019.860,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.751.739.180,CNRZCe2IrWFZMbwCBd,192.168.0.66,35536,192.168.0.4,554,tcp,-,1.019.858,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.751.739.190,CapJsz4Y0vQdvXcHUe,192.168.0.66,60710,192.168.0.4,8888,tcp,-,1.019.855,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.751.739.190,CppgUr9PMkNoaPdVh,192.168.0.66,58662,192.168.0.4,445,tcp,-,1.019.489,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.751.739.190,CtSYUa4dwjI7Kvw3mk,192.168.0.66,48882,192.168.0.4,3306,tcp,-,1.019.487,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.751.739.470,CJ7kofFXRzEmZncVl,192.168.0.66,34124,192.168.0.4,21,tcp,-,1.019.204,0,0,S0,T,T,0,S,2,120,0,0,-
1.726.892.751.739.180,CIsZDr1FFWkVhWzCHa,192.168.0.66,51332,192.168.0.4,8080,tcp,-,1.043,0,0,RSTO,T,T,0,ShAR,3,164,1,60,-
