ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
time,string,addr,port,addr,port,enum,string,interval,count,count,string,bool,bool,count,string,count,count,count,count,set[string]
1.726.892.914.737.170,CTZqqd2Xc8n45eFvIf,192.168.0.66,56800,192.168.0.4,5355,tcp,-,-,-,-,S0,T,T,0,S,1,64,0,0,-
1.726.892.917.294.060,CPpmzS29SmUW3zbHh8,192.168.0.4,38153,46.246.122.188,52646,tcp,-,854.806,68,304,SF,T,F,0,ShADadFf,6,388,4,520,-
1.726.892.922.300.170,Cf3O9e36mBIgqq6yti,192.168.0.4,38383,112.21.127.2,43989,tcp,-,1.021.139,313,68,RSTR,T,F,0,ShADadtr,7,709,8,468,-
1.726.892.923.301.340,CPuvLf4jWApnyBUeOg,192.168.0.4,49869,89.187.178.178,51720,tcp,-,487.153,68,276,SF,T,F,0,ShADadFf,6,388,4,492,-
1.726.892.923.266.650,C8sq914rNfyButlwHl,61.147.237.2,43304,192.168.0.4,6881,tcp,-,665.694,68,304,RSTO,F,T,0,ShADadR,7,440,5,572,-
1.726.892.924.006.230,CQwNJz1xj0fbstRs19,192.168.0.3,5353,224.0.0.251,5353,udp,dns,442,202,0,S0,T,F,0,D,2,258,0,0,-
1.726.892.924.006.340,C6bOGt2bjY2ZKsllS6,fe80::3ae7:c0ff:fe05:535c,5353,ff02::fb,5353,udp,dns,404,202,0,S0,T,F,0,D,2,298,0,0,-
1.726.892.927.924.390,CxluJo4TOgE99nyiAd,fe80::9c92:31ff:fe5c:4e1e,5353,ff02::fb,5353,udp,dns,53.510,358,0,S0,T,F,0,D,2,454,0,0,-
1.726.892.927.925.220,ClxJ0e4QYn7zGVJEkc,192.168.0.66,5353,224.0.0.251,5353,udp,dns,274,316,0,S0,T,F,0,D,2,372,0,0,-
1.726.892.927.925.490,CpEKh33rR8mCng2hlb,fe80::fcd6:8f03:af77:d42d,5353,ff02::fb,5353,udp,dns,152,300,0,S0,T,F,0,D,2,396,0,0,-
1.726.892.933.312.580,CZn2Q260aS5oFb238,192.168.0.4,49901,38.175.193.77,51413,tcp,-,454.799,68,0,RSTR,T,F,0,ShADar,3,232,3,164,-
1.726.892.934.876.280,Ci5cZv1Jn0yHkNnNP2,192.168.0.4,50016,186.2.163.20,443,tcp,-,40.859,0,0,SHR,T,F,0,^fA,1,52,1,52,-
1.726.892.935.426.140,C5r4Tn4yAhJICRyN8f,192.168.0.4,56328,91.193.75.4,443,tcp,-,40.991,0,24,SHR,T,F,0,^dfA,1,52,2,128,-
1.726.892.936.834.200,C05Fov4oTW2s8bD1R5,192.168.0.4,39350,38.85.200.2,443,tcp,-,40.925,0,24,SHR,T,F,0,^dfA,1,52,2,128,-
1.726.892.938.319.330,C86GQI3GYIGVCmJDul,192.168.0.4,43531,185.21.217.10,51819,tcp,-,461.574,68,0,RSTR,T,F,0,ShADar,3,208,3,124,-
1.726.892.944.561.350,C8meiP3ML1RxTF4Qw4,192.168.0.4,34564,104.31.16.118,443,tcp,-,24.652,0,0,SF,T,F,0,FfA,2,104,1,52,-
1.726.892.944.606.880,ClJSrj431rlXBL4du,192.168.0.4,56328,91.193.75.4,443,tcp,-,238.021,0,0,SH,T,F,0,Fa,1,52,1,52,-
1.726.892.944.610.870,C9schf33ZNsPJqY52l,192.168.0.4,45704,172.67.185.216,443,tcp,-,24.415,0,0,SF,T,F,0,FfA,2,104,1,52,-
1.726.892.944.666.320,CUSdZ71vSoJDR2Jd7i,192.168.0.4,35370,172.67.168.209,443,tcp,-,19.832,0,0,SF,T,F,0,FfA,2,104,1,52,-
1.726.892.944.675.780,CcdGT92vBAayO3M0f5,192.168.0.4,37272,172.67.215.241,443,tcp,-,24.150,0,0,SF,T,F,0,FfA,2,104,1,52,-
1.726.892.944.675.710,CBRs9x2U9x26WUx8r8,192.168.0.4,51630,172.67.198.132,443,tcp,-,24.214,0,0,SF,T,F,0,FfA,2,104,1,52,-
1.726.892.944.678.830,CnTqLU1aJ2vmWYFpfh,192.168.0.4,37266,104.31.16.121,443,tcp,-,23.443,0,0,SF,T,F,0,FfA,2,104,1,52,-
1.726.892.944.677.220,CFaGBr16QubzcnDe61,192.168.0.4,58490,172.67.98.15,443,tcp,-,28.561,0,0,SF,T,F,0,FfA,2,104,1,52,-
1.726.892.944.687.580,Ckuu1L2ASoTiJlgRJ,192.168.0.4,57178,172.67.129.38,443,tcp,-,20.692,0,0,SF,T,F,0,FfA,2,104,1,52,-
1.726.892.944.686.140,CQwTOe3CZu1vLjRZk2,192.168.0.4,57830,104.31.16.11,443,tcp,-,22.136,0,0,SF,T,F,0,FfA,2,104,1,52,-
1.726.892.944.686.150,CeuMSn3kcqcO9c9FWg,192.168.0.4,51758,104.31.16.2,443,tcp,-,25.243,0,0,SF,T,F,0,FfA,2,104,1,52,-
1.726.892.944.682.980,CXgym53huSdYxJ13Bi,192.168.0.4,41016,207.241.224.2,443,tcp,-,192.529,0,0,SF,T,F,0,FfA,2,104,1,52,-
1.726.892.945.459.810,CmgypK25oxoGyCSYEc,192.168.0.4,43466,172.67.196.200,443,tcp,-,23.705,0,0,SF,T,F,0,FfA,2,104,1,52,-
1.726.892.945.619.630,C1pwv23ArtAE1LfXPf,192.168.0.4,52344,104.31.16.124,443,tcp,-,22.402,0,0,SF,T,F,0,FfA,2,104,1,52,-
1.726.892.945.976.080,C1UzYubE9RTAGYPNg,192.168.0.4,48816,172.67.220.14,443,tcp,-,23.575,0,0,SF,T,F,0,FfA,2,104,1,52,-
1.726.892.946.350.620,CV72JV1EIQ0VgLkW56,192.168.0.4,36820,172.67.186.124,443,tcp,-,23.413,0,0,SF,T,F,0,FfA,2,104,1,52,-
1.726.892.946.385.380,CBjMSK2yeuzubWbIsg,192.168.0.4,50526,172.67.210.40,443,tcp,-,22.913,0,0,SF,T,F,0,FfA,2,104,1,52,-
1.726.892.946.728.680,C8RzFt4Y9iYc9m4De2,192.168.0.4,50016,186.2.163.20,443,tcp,-,163.339,0,0,SH,T,F,0,Fa,1,52,1,52,-
1.726.892.946.790.300,CpyrEz29orcHFEW4Ac,192.168.0.4,50196,172.67.168.137,443,tcp,-,19.597,0,0,SF,T,F,0,FfA,2,104,1,52,-
1.726.892.946.790.260,C3y0gf3jhek3FnnzN8,192.168.0.4,52696,172.67.172.111,443,tcp,-,23.802,0,0,SF,T,F,0,FfA,2,104,1,52,-
1.726.892.945.325.840,Cfuj5B27lQofN9bRF9,192.168.0.4,46331,222.90.3.84,51411,tcp,-,1.880.207,313,307,SF,T,F,0,ShADadFf,7,613,7,599,-
1.726.892.947.261.340,CTZ3up2ua4xe77oQmf,192.168.0.4,44284,172.67.171.213,443,tcp,-,23.584,0,0,SF,T,F,0,FfA,2,104,1,52,-
1.726.892.947.481.890,CAjWcOEtlxX8duA05,192.168.0.4,42214,172.67.137.143,443,tcp,-,19.892,0,0,SF,T,F,0,FfA,2,104,1,52,-
1.726.892.947.508.110,CqxDY92LF4Lx2juZde,192.168.0.4,44048,104.31.16.9,443,tcp,-,20.431,0,0,SF,T,F,0,FfA,2,104,1,52,-
1.726.892.947.531.430,C9As1n7lGyvAUikIf,192.168.0.4,52074,172.67.213.119,443,tcp,-,20.486,0,0,SF,T,F,0,FfA,2,104,1,52,-
1.726.892.947.658.550,Cox6G522kKt6jyvcH4,192.168.0.4,52606,172.67.70.47,443,tcp,-,19.616,0,0,SF,T,F,0,FfA,2,104,1,52,-
1.726.892.947.696.000,C9CS7x4AW2T9At0pbh,192.168.0.4,54968,172.67.168.117,443,tcp,-,20.165,0,0,SF,T,F,0,FfA,2,104,1,52,-
1.726.892.947.846.330,CaCh0b4LUuIMZcIeyf,192.168.0.4,52770,172.67.128.142,443,tcp,-,23.827,0,0,SF,T,F,0,FfA,2,104,1,52,-
1.726.892.947.918.160,CNAD3Q1q1Ing4UU2a2,192.168.0.4,40202,172.67.142.220,443,tcp,-,19.577,0,0,SF,T,F,0,FfA,2,104,1,52,-
1.726.892.948.112.180,CRcKfL13szcEABp1fc,192.168.0.4,45418,104.31.16.122,443,tcp,-,21.256,0,0,SF,T,F,0,FfA,2,104,1,52,-
1.726.892.948.284.190,CMDcO12a32sJkTgKd5,192.168.0.4,41424,172.67.175.216,443,tcp,-,20.867,0,0,SF,T,F,0,FfA,2,104,1,52,-
1.726.892.948.337.890,CxdwIt1ykpozjUBpU4,192.168.0.4,39350,38.85.200.2,443,tcp,-,195.382,0,0,SH,T,F,0,Fa,1,52,1,52,-
1.726.892.948.387.130,C1HeODqRN4Uzogs35,192.168.0.4,56642,172.67.215.14,443,tcp,-,22.537,0,0,SF,T,F,0,FfA,2,104,1,52,-
1.726.892.948.540.580,CywASd3Io8Xmp2mRnk,192.168.0.4,34812,172.67.135.10,443,tcp,-,19.173,0,0,SF,T,F,0,FfA,2,104,1,52,-
1.726.892.948.580.110,CHBCLP2vZ2Wvio6TOa,192.168.0.4,39304,172.67.194.145,443,tcp,-,23.031,0,0,SF,T,F,0,FfA,2,104,1,52,-
